RespId,weight,Q29_1,voter_category
474087,0.9067,NA,rarely/never
474127,0.9067,NA,always
474703,0.9067,NA,rarely/never
488068,0.9067,NA,sporadic
471435,0.9075,NA,sporadic
473104,0.9075,1,rarely/never
477125,0.9075,NA,always
477163,0.9075,NA,rarely/never
477416,0.9075,NA,always
477534,0.9075,NA,sporadic
477625,0.9075,NA,sporadic
485663,0.9075,-1,rarely/never
471758,0.9076,-1,rarely/never
471698,0.9078,NA,sporadic
474105,0.9078,NA,sporadic
476479,0.9078,NA,sporadic
474535,0.908,1,sporadic
470477,0.9081,NA,always
470629,0.9081,NA,rarely/never
471046,0.9081,NA,always
471128,0.9081,NA,sporadic
471870,0.9081,NA,sporadic
472292,0.9081,NA,rarely/never
473586,0.9081,NA,sporadic
473968,0.9081,NA,sporadic
474716,0.9085,NA,sporadic
477316,0.9085,NA,sporadic
486268,0.9095,NA,always
475652,0.9097,NA,sporadic
477166,0.9097,NA,rarely/never
477503,0.9097,NA,always
476076,0.9105,NA,rarely/never
470152,0.9106,NA,always
471808,0.9106,NA,sporadic
471871,0.9106,NA,always
472785,0.9106,NA,sporadic
474767,0.9106,NA,sporadic
475155,0.9106,NA,always
475734,0.9106,NA,sporadic
476877,0.9106,NA,always
477235,0.9106,NA,always
470545,0.9116,NA,sporadic
470648,0.9116,NA,always
470965,0.9116,NA,sporadic
471165,0.9116,NA,rarely/never
471620,0.9116,NA,always
472124,0.9116,NA,always
473179,0.9116,NA,always
473541,0.9116,-1,rarely/never
473616,0.9116,NA,sporadic
473743,0.9116,NA,always
474128,0.9116,1,sporadic
474755,0.9116,-1,rarely/never
474769,0.9116,-1,rarely/never
476573,0.9116,NA,sporadic
477564,0.9116,NA,sporadic
473293,0.9117,NA,sporadic
474687,0.9117,-1,always
487096,0.9117,-1,sporadic
471192,0.9119,NA,always
475284,0.9119,-1,sporadic
471082,0.9122,NA,rarely/never
484162,0.9122,NA,sporadic
471403,0.9125,NA,sporadic
473996,0.9125,NA,sporadic
474361,0.9125,NA,sporadic
474876,0.9125,NA,always
474990,0.9125,NA,always
475325,0.9125,-1,rarely/never
476779,0.913,NA,sporadic
474246,0.9131,-1,sporadic
470442,0.9132,NA,sporadic
470574,0.9132,NA,always
470823,0.9132,NA,sporadic
473349,0.9132,NA,rarely/never
474394,0.9132,NA,sporadic
471600,0.9136,NA,rarely/never
475165,0.9136,-1,rarely/never
475397,0.9136,-1,rarely/never
475416,0.9136,1,sporadic
477292,0.9136,NA,sporadic
477309,0.9136,NA,sporadic
